Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,87.949997,89.699997,87.750000,89.680000,89.680000,95500
2022-07-22,91.419998,91.879997,89.760002,89.889999,89.889999,83100
2022-07-25,91.250000,91.650002,89.480003,90.019997,90.019997,124000
2022-07-26,87.040001,87.139999,83.360001,83.650002,83.650002,147200
2022-07-27,82.839996,83.400002,81.070000,83.330002,83.330002,177600
2022-07-28,84.150002,85.300003,83.300003,85.300003,85.300003,132400
2022-07-29,83.419998,86.209999,82.750000,86.139999,86.139999,71300
2022-08-01,87.199997,88.669998,86.779999,88.000000,88.000000,186400
2022-08-02,84.720001,85.820000,84.320000,84.809998,84.809998,151500
2022-08-03,86.480003,87.309998,85.820000,87.070000,87.070000,65600
2022-08-04,89.349998,89.980003,88.059998,89.930000,89.930000,87400
2022-08-05,87.610001,88.209999,86.879997,87.940002,87.940002,192100
2022-08-08,88.800003,89.610001,88.730003,89.199997,89.199997,129400
2022-08-09,89.040001,89.040001,86.400002,86.699997,86.699997,205600
2022-08-10,88.629997,90.000000,88.360001,89.449997,89.449997,91600
2022-08-11,88.970001,90.120003,88.419998,88.629997,88.629997,98200
2022-08-12,87.690002,89.519997,87.500000,89.519997,89.519997,105600
2022-08-15,87.919998,88.480003,87.599998,87.940002,87.940002,156600
2022-08-16,86.610001,88.629997,86.410004,88.029999,88.029999,98800
2022-08-17,86.949997,87.260002,85.680000,86.349998,86.349998,104400
2022-08-18,85.150002,85.199997,84.099998,84.610001,84.610001,117300
2022-08-19,84.430000,84.559998,82.570000,82.730003,82.730003,156700
2022-08-22,80.360001,80.529999,77.809998,78.550003,78.550003,790100
2022-08-23,77.779999,78.879997,77.410004,77.580002,77.580002,136700
2022-08-24,78.180000,79.389999,77.790001,78.870003,78.870003,106900
2022-08-25,78.500000,79.720001,78.120003,79.720001,79.720001,248100
2022-08-26,78.779999,79.019997,74.830002,74.919998,74.919998,97900
2022-08-29,74.750000,75.400002,74.080002,74.500000,74.500000,134800
2022-08-30,76.470001,76.800003,74.910004,75.580002,75.580002,106200
2022-08-31,75.459999,75.709999,74.139999,74.180000,74.180000,93600
2022-09-01,72.500000,73.400002,71.820000,73.389999,73.389999,121500
2022-09-02,73.440002,74.769997,71.510002,72.419998,72.419998,138500
2022-09-06,71.629997,71.970001,70.419998,71.099998,71.099998,176200
2022-09-07,69.639999,71.889999,69.470001,71.639999,71.639999,310400
2022-09-08,69.430000,71.070000,68.989998,70.879997,70.879997,254500
2022-09-09,72.879997,73.739998,72.779999,73.150002,73.150002,118600
2022-09-12,75.580002,76.739998,75.120003,75.379997,75.379997,159300
2022-09-13,72.779999,73.440002,70.779999,71.029999,71.029999,163700
2022-09-14,70.910004,71.620003,70.339996,71.120003,71.120003,119100
2022-09-15,67.989998,69.199997,67.800003,68.040001,68.040001,240800
2022-09-16,66.820000,67.980003,66.559998,67.650002,67.650002,114900
2022-09-19,67.989998,69.290001,67.800003,68.959999,68.959999,181400
2022-09-20,67.339996,68.070000,66.699997,67.309998,67.309998,180300
2022-09-21,67.480003,68.080002,66.150002,66.150002,66.150002,140600
2022-09-22,66.540001,66.720001,65.529999,65.970001,65.970001,148100
2022-09-23,64.239998,64.320000,62.779999,63.410000,63.410000,285300
2022-09-26,63.709999,64.309998,61.580002,61.750000,61.750000,841400
2022-09-27,61.880001,62.279999,60.220001,60.919998,60.919998,394400
2022-09-28,61.930000,64.239998,61.459999,63.959999,63.959999,217600
2022-09-29,61.650002,61.770000,59.759998,60.630001,60.630001,237900
2022-09-30,57.290001,58.529999,57.020000,57.410000,57.410000,241900
2022-10-03,57.650002,58.779999,56.490002,58.470001,58.470001,272400
2022-10-04,61.369999,63.040001,61.369999,62.790001,62.790001,649100
2022-10-05,60.720001,60.990002,59.959999,60.660000,60.660000,1132900
2022-10-06,60.330002,60.939999,58.540001,58.860001,58.860001,509300
2022-10-07,57.220001,57.250000,55.820000,56.169998,56.169998,330200
2022-10-10,57.110001,57.299999,54.990002,55.599998,55.599998,264400
2022-10-11,55.610001,56.580002,54.820000,55.459999,55.459999,219000
2022-10-12,54.610001,54.689999,53.860001,54.000000,54.000000,193800
2022-10-13,52.430000,56.020000,51.900002,55.680000,55.680000,303000
2022-10-14,56.459999,56.669998,55.000000,55.040001,55.040001,145200
2022-10-17,57.650002,58.290001,57.459999,58.009998,58.009998,272800
2022-10-18,59.669998,59.709999,57.990002,58.459999,58.459999,197800
2022-10-19,56.389999,56.889999,55.930000,56.410000,56.410000,92500
2022-10-20,55.799999,56.709999,53.220001,53.939999,53.939999,217600
2022-10-21,51.160000,52.349998,50.750000,51.639999,51.639999,545553
